organization_id;domains
007c6dc7-3d03-482d-83cb-049cc66e10a7;aptus.org
0187e9bb-1694-4588-b39b-847aae39b2d5;antarangfoundation.org
0187e9bb-1694-4588-b39b-847aae39b2d5;christelhouse.org
0187e9bb-1694-4588-b39b-847aae39b2d5;gmail.com
03e49170-0933-434c-86a1-5ee9e01d7301;leapschool.org.za
052e492c-bfbd-4591-a95b-8a33ed9db466;dignitasproject.org
05cf1680-410c-4692-a465-267f67b1988c;righttoplay.com
05cf1680-410c-4692-a465-267f67b1988c;righttoplay.org
06cfe499-7da2-4113-98cf-c43d109bbe13;madhifoundation.org
07e90c30-d6fe-4325-9bc5-97efa6fbbfde;gurujifoundation.in
095a0cc1-eac1-4d27-9769-1640b6f62c2b;gmail.com
09d4db9c-04a1-4a75-a74a-a2724d055d2d;limitlesshorizonsixil.org
0a8778dd-a98d-4085-9d24-9f6041c2d2d1;gmail.com
0a8778dd-a98d-4085-9d24-9f6041c2d2d1;smartstart.org.za
0b1ceb78-9fc8-4c4c-a545-0607be1d91df;ei.study
0b1ceb78-9fc8-4c4c-a545-0607be1d91df;leadschool.in
0c416e1d-4c3c-4a92-b111-259458fd40e2;kashf.org
0d5173b0-1e13-4ec5-90b2-1042f835d125;teachunited.org
0fe5a7c6-4e6e-43a0-94d8-f2497965d290;theactionfoundationkenya.org
10658304-b4fd-4b0f-9917-387206cbc653;kisubihighschool.com
10658304-b4fd-4b0f-9917-387206cbc653;kisubischools.org
10658304-b4fd-4b0f-9917-387206cbc653;schole.org.uk
10c02b2a-ae21-4b09-8754-a5e23b81abc8;escuelaser.org
10c02b2a-ae21-4b09-8754-a5e23b81abc8;mail.harvard.edu
11c9e56d-df60-4464-bdbe-432484007676;tptrust.org
1288637a-215b-4cc0-9200-965b0294ac92;partnersinedethiopia.org
128a70ad-9f23-4cb8-b801-e35aff03d833;nabu.org
13de6158-9034-4555-88df-f829f68e1174;leadershipforequity.org
15e6973f-1364-4f37-afb5-af603440f6eb;childrenincrossfire.org
15e6973f-1364-4f37-afb5-af603440f6eb;gmail.com
181730ed-667a-4bb7-8ba2-edcdd9aaed3f;gmail.com
181730ed-667a-4bb7-8ba2-edcdd9aaed3f;thinkequal.org
185ed091-62eb-47ff-98bc-ba3be0928ee4;dyslexiakenya.org
19e9e142-d20c-48dd-be85-12fa58f8928a;chiddoss.org
1ab9bc11-ce55-467e-ac4b-6ed98ccff581;gmail.com
1ab9bc11-ce55-467e-ac4b-6ed98ccff581;ntlworld.com
1ab9bc11-ce55-467e-ac4b-6ed98ccff581;sabre.education
1b39227b-9ec8-4804-a0bb-e698373678aa;aprender.co.uk
1d710f1c-72f9-41b3-a219-a8dff9fde454;gmail.com
1d710f1c-72f9-41b3-a219-a8dff9fde454;languageandlearningfoundation.org
1d710f1c-72f9-41b3-a219-a8dff9fde454;learninglinksindia.org
1d87229d-6d2e-4889-82a9-ba28828004d7;gmail.com
1d87229d-6d2e-4889-82a9-ba28828004d7;thinkzone.in
1ec6e394-0672-4c5d-8e5b-71c5fc74a9c9;edpartnersafrica.com
1ec6e394-0672-4c5d-8e5b-71c5fc74a9c9;progressioncap.com
1faa33a3-505c-4483-8c57-c2c2e4f9100c;impactnetwork.org
1fd335e8-07d4-4890-9c7d-721368a2f366;gmail.com
202ddb8e-e91c-43b9-9369-3751338d50ab;creccommw.org
2354cb56-1b08-40e3-b903-dbc1a92a7768;SeedSchools.in
26732852-27d2-4d74-ae82-95d5029f78a2;afrikids.org
26993e62-7873-4163-9ff9-fb57590e2073;buildingtomorrow.org
26993e62-7873-4163-9ff9-fb57590e2073;gmail.com
278801c6-3d49-4620-9f35-0c3fba3394e9;gmail.com
278801c6-3d49-4620-9f35-0c3fba3394e9;nadev.org
27a7c0a7-04a0-44ae-b2d1-3843fd8abccc;gmail.com
27a7c0a7-04a0-44ae-b2d1-3843fd8abccc;rocketlearning.org
286d7d00-ce6f-446a-90ad-21defe358399;gmail.com
286d7d00-ce6f-446a-90ad-21defe358399;kenyaconnect.org
29296924-8a32-43fd-978b-797c35a4214c;gmail.com
293a0981-a2a8-4b30-9701-d5bf819e6365;varthana.com
2b85b0a9-e698-4bbf-91e8-2a731aaa7fb3;gmail.com
2d2939bd-bfaf-4f1c-9d38-0131d2472d7e;acorneducation.org.za
2d2939bd-bfaf-4f1c-9d38-0131d2472d7e;apex-schools.org
2d2939bd-bfaf-4f1c-9d38-0131d2472d7e;gmail.com
2df34aa2-1c87-4c13-a2f4-7eb07d1634f2;apecschools.edu.ph
2df34aa2-1c87-4c13-a2f4-7eb07d1634f2;ntc.edu.ph
2df34aa2-1c87-4c13-a2f4-7eb07d1634f2;outlook.com
2f4df8cb-c7d4-4ba1-bb0c-c69b80d28a30;yahoo.com
31285061-fb0c-4226-950c-e83133779e0e;linkedmalawi.org
316b6815-667d-4618-b274-4d651893f521;gmail.com
31c451da-fab6-4f79-a6a2-3224032e6d7a;lendahandindia.org
3650509a-2eba-411a-aa39-2b855c4888dc;gmail.com
3650509a-2eba-411a-aa39-2b855c4888dc;jenirich.com
372f257b-dad1-4de4-b0a2-6623160ce524;areai4africa.org
39b2651f-bd6a-4432-bfbb-f9aa29066382;gmail.com
3a083f8f-99b2-4e05-9347-9318a28103d1;gmail.com
3a083f8f-99b2-4e05-9347-9318a28103d1;unitedworldschools.org
3a083f8f-99b2-4e05-9347-9318a28103d1;uwsglobal.net
3aa8e9ed-daba-4b89-ae93-7654ddcd21e6;gmail.com
3aa8e9ed-daba-4b89-ae93-7654ddcd21e6;yahoo.com
3b4cf2ca-3f90-461c-bb68-6b027cbc749c;aeiotu.org
3dc5dc88-1f9a-4bfe-aa4f-c7faed384120;gmail.com
3ee7ddc9-7a87-4247-b9f5-efb0d784d2a7;indusworldschool.com
3fdde696-7e10-4b59-b6fd-6ce5c6479dea;gmail.com
3ff8507f-dca2-462d-82dd-39ebf0229d01;education-bridge.org
40943bb1-2e96-49ae-a1b3-c2a826981a7a;gmail.com
421e872c-1196-40f6-bc77-a93ab1a4921e;sega.or.tz
43f55d31-59b1-4b30-9c3f-52ad25216ddb;moneyformadagascar.org
45687629-ac87-476f-9c4c-99cb892aef14;gmail.com
45687629-ac87-476f-9c4c-99cb892aef14;novapioneer.com
4606cd20-bbc9-4fda-b151-38cf16c08430;gmail.com
4606cd20-bbc9-4fda-b151-38cf16c08430;learningdifferently.info
460ea07d-0c76-49f3-82da-9626125e0a44;chan.christelhouseindia.org
460ea07d-0c76-49f3-82da-9626125e0a44;chb.christelhouseindia.org
460ea07d-0c76-49f3-82da-9626125e0a44;christelhouse.org
460ea07d-0c76-49f3-82da-9626125e0a44;christelhouseindia.org
460ea07d-0c76-49f3-82da-9626125e0a44;chschools.org
460ea07d-0c76-49f3-82da-9626125e0a44;mx.christelhouse.org
460ea07d-0c76-49f3-82da-9626125e0a44;sa.christelhouse.org
4830b5a0-aa21-442b-bd98-e9a611f98bfc;gmail.com
4830b5a0-aa21-442b-bd98-e9a611f98bfc;plantingseedsinternational.org
49fd709f-0b73-43f1-a83b-39ae9c0c6fb0;nyafsl.com
4e146483-6532-4c3e-8e60-c6e1ba59ab87;akanksha.org
4e146483-6532-4c3e-8e60-c6e1ba59ab87;gmail.com
4fa2011b-a663-4fde-8c37-a2b44f9f8074;metiscollective.org
4fa2011b-a663-4fde-8c37-a2b44f9f8074;novastarventures.com
53e0959d-d338-45a7-b252-3ed5c5808421;gmail.com
53e0959d-d338-45a7-b252-3ed5c5808421;mobilecreches.org
5400e9ad-6ce4-4178-ba9b-1f37eb268c76;hellofuture.io
541f7b57-553b-4470-93d7-e550573be4ba;gmail.com
5544953b-d992-4091-b9ed-68c3c4abdf52;bhgh.org
5544953b-d992-4091-b9ed-68c3c4abdf52;esperanzajuvenil.org
5544953b-d992-4091-b9ed-68c3c4abdf52;gmail.com
589fc0b2-c37b-499f-8178-050d818cb9a7;huddle.education
593ca178-3e9d-4831-9bf0-2613e284c357;icalcolombia.org
59e29d23-77eb-450e-80ec-f97e9f58200f;kidscollab.co.za
5a579cb9-87a2-4fa6-8a58-51d4c680aaeb;gmail.com
5a579cb9-87a2-4fa6-8a58-51d4c680aaeb;street-child.co.uk
5a579cb9-87a2-4fa6-8a58-51d4c680aaeb;street-child.org
5a579cb9-87a2-4fa6-8a58-51d4c680aaeb;streetchildsl.org
5b2d1413-f3aa-4193-9e8a-317d40a3bb18;gmail.com
5b2d1413-f3aa-4193-9e8a-317d40a3bb18;silverleaf.co.tz
5c1e323e-9260-4c62-9c43-3b697a9c5ca0;capplus.org
5fc41397-d0e3-4128-bdcb-922c7629598e;gmail.com
5fc41397-d0e3-4128-bdcb-922c7629598e;iteachschools.org
5fc41397-d0e3-4128-bdcb-922c7629598e;teachforindia.org
5ff8babb-d102-4071-a9fe-a97eb6a9c1f9;gmail.com
5ff8babb-d102-4071-a9fe-a97eb6a9c1f9;kidogo.co
61dac8c7-005b-4952-8173-fbea61a244ba;gmail.com
61dac8c7-005b-4952-8173-fbea61a244ba;tecec.or.tz
62d04526-080a-462b-ae2f-32a63f6e3a41;centralsquarefoundation.org
62d04526-080a-462b-ae2f-32a63f6e3a41;gmail.com
6353f84b-8718-4726-9898-4f1f9582693a;buckingham.ac.uk
